org_mnemonic,fan_id,action_date,uphoria_page,uphoria_widget
RICE,0e565c4e-2af6-44e3-a9c8-39f17a6c6fb1,2021-08-26,Splash Page,
RICE,d5dfb4c8-52e1-4dd2-a57e-8cd872d0512a,2021-08-26,Splash Page,
RICE,53ae5bf8-8077-4594-bca6-0bcc218324be,2021-08-26,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-26,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-26,Tickets,IMAGE_WIDGET
RICE,53ae5bf8-8077-4594-bca6-0bcc218324be,2021-08-26,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-26,Home,IMAGE_WIDGET
RICE,ac96a6a5-8384-4f81-b542-bd2fd7b27674,2021-08-26,Tickets,IMAGE_WIDGET
RICE,e6b50abe-b27c-41b2-8ec8-5d1ac32336d6,2021-08-26,More,IMAGE_WIDGET
RICE,da9f3eab-d10a-4dbb-935e-7bfe10b3b6e3,2021-08-26,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-26,Splash Page,
RICE,bb11cb1c-0a6b-4137-bf4b-72c4fa43ccad,2021-08-26,Splash Page,
RICE,da9f3eab-d10a-4dbb-935e-7bfe10b3b6e3,2021-08-26,Tickets,IMAGE_WIDGET
RICE,da9f3eab-d10a-4dbb-935e-7bfe10b3b6e3,2021-08-26,Tickets,IMAGE_WIDGET
RICE,25c9ab70-b391-4d69-bd12-ba6f17772b76,2021-08-26,Splash Page,
RICE,53ae5bf8-8077-4594-bca6-0bcc218324be,2021-08-26,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-26,Brand Page,IMAGE_WIDGET
RICE,da9f3eab-d10a-4dbb-935e-7bfe10b3b6e3,2021-08-26,Event Detail,IMAGE_WIDGET
RICE,ac96a6a5-8384-4f81-b542-bd2fd7b27674,2021-08-26,Splash Page,
RICE,e6b50abe-b27c-41b2-8ec8-5d1ac32336d6,2021-08-26,Splash Page,
RICE,25c9ab70-b391-4d69-bd12-ba6f17772b76,2021-08-26,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-26,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-26,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-26,Tickets,IMAGE_WIDGET
RICE,da9f3eab-d10a-4dbb-935e-7bfe10b3b6e3,2021-08-26,Game Day,IMAGE_WIDGET
RICE,da9f3eab-d10a-4dbb-935e-7bfe10b3b6e3,2021-08-26,Game Day,IMAGE_WIDGET
RICE,da9f3eab-d10a-4dbb-935e-7bfe10b3b6e3,2021-08-26,Tickets,IMAGE_WIDGET
RICE,25c9ab70-b391-4d69-bd12-ba6f17772b76,2021-08-26,Tickets,IMAGE_WIDGET
RICE,bb11cb1c-0a6b-4137-bf4b-72c4fa43ccad,2021-08-26,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-26,Tickets,IMAGE_WIDGET
RICE,da9f3eab-d10a-4dbb-935e-7bfe10b3b6e3,2021-08-26,Game Day,IMAGE_WIDGET
RICE,e6b50abe-b27c-41b2-8ec8-5d1ac32336d6,2021-08-26,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-26,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-27,Tickets,IMAGE_WIDGET
RICE,84ab7322-d6b6-4376-9339-82086f613427,2021-08-27,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-27,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,ca02244f-b141-4d80-9b37-56fe048bfd20,2021-08-29,Splash Page,
RICE,6f2b355f-31db-4ff3-9966-b9730957c53c,2021-08-29,Tickets,IMAGE_WIDGET
RICE,22b26168-3076-4ac0-a2a4-cc79892f8384,2021-08-29,Tickets,IMAGE_WIDGET
RICE,111aafc4-ba52-41ea-af50-4f2276a1d3a0,2021-08-29,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-29,Splash Page,
RICE,2c22885b-2836-4c7d-999e-a9ee64a266f0,2021-08-29,Tickets,IMAGE_WIDGET
RICE,c86bb930-5eb9-419a-9aa2-7210d717e458,2021-08-29,Splash Page,
RICE,0ee4dba5-877f-49cd-8b5c-d35f5af1e223,2021-08-29,Splash Page,
RICE,6f2b355f-31db-4ff3-9966-b9730957c53c,2021-08-29,Splash Page,
RICE,2c22885b-2836-4c7d-999e-a9ee64a266f0,2021-08-29,Splash Page,
RICE,b540a3f5-94e4-4068-a744-bfc5ce83881b,2021-08-29,Splash Page,
RICE,bafc1a7d-c2ee-4805-9d58-a92fe37d8bea,2021-08-28,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-28,Splash Page,
RICE,b093fd18-dd1f-4f3e-9980-caf283145980,2021-08-28,Splash Page,
RICE,879c3b9f-b2ca-4304-9247-da4494a6436a,2021-08-28,Splash Page,
RICE,e6b50abe-b27c-41b2-8ec8-5d1ac32336d6,2021-08-28,Splash Page,
RICE,a9a7c4ac-f676-4a65-97b1-dd4380e95705,2021-08-28,Splash Page,
RICE,ca02244f-b141-4d80-9b37-56fe048bfd20,2021-08-28,Splash Page,
RICE,3c332490-4ba2-4761-9323-581791479c0f,2021-08-27,Splash Page,
RICE,b63e689b-992d-4bea-97a7-ee79448cb4c0,2021-08-27,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-27,Splash Page,
RICE,5e7cdbea-3f2d-4f1a-bf98-8b444dbd8b56,2021-08-27,Splash Page,
